ID	Result
group_265	-0.145620957556455
group_507	-0.104264337173565
group_266	0.00156645471287658
group_264	-0.148010407331398
group_220	-0.0123482467672737
group_228	-0.14067174885797
group_57	-0.20406877622196
group_267	-0.106755781591647
group_197	-0.286936890261467
group_42	-0.109464664501575
group_83	-0.252834331617529
group_622	-0.388585491597772
group_67	-0.200940427246797
group_261	-0.383212086462406
sp.Q00042.TNPX_ECOLI	-0.172397622104824
group_151	-0.121698907210765
group_167	-0.104897755245591
group_34	-0.34637277286469
group_108	-0.11039222040213
group_211	-0.300707629091468
group_124	-0.138339554722912
group_90	-0.117120114635509
group_620	-0.0288480387425593
group_18	-0.430506831911686
group_98	0.0676486604620097
group_254	-0.119270423855831
group_104	-0.0237812319999288
group_88	-0.434730308690691
group_51	-0.124137479409477
group_79	-0.453211662918816
group_275	-0.127690547247492
group_522	0.000372777862889311
group_146	-0.177794255837831
group_495	-0.386340257205401
group_673	-0.0458562674677356
group_77	0.324705895609538
group_579	-0.0698742611803481
group_638	-0.304970903589377
sp.P10484.T1M1_ECOLX...sp.Q47163.T1MP_ECOLX	-0.1183382804081
sp.Q9ZJ24.YF88_HELPJ...sp.P75617.YAAW_ECOLI	0.00313776909994814
group_179	-0.137659661624235
group_252	0.279921264611587
sp.P10486.T1R1_ECOLX	-0.0734760063487477
group_41	0.0012789177287777
group_139	-0.222317233700778
group_30	-0.0794930620852108
group_37	-0.233825185070778
group_25	-0.0935004503746799
group_501	-0.190166691469913
sp.Q7V395.MNME_PROMP...sp.B0KBA1.ENGB_THEP3	-0.699048495883607
group_60	-0.142549337693901
group_678	-0.340440960606417
group_21	-0.145762943840851
group_536	-0.784316645435423
group_107	-0.0453817254353246
group_190	-0.248804870224508
group_585	-0.2342716525523
group_173	-0.259100205273484
group_566	-0.588562062025366
group_195	-0.186098300412889
group_231	-0.094556856638954
group_607	0.0985708459013995
group_508	-0.131031046100853
group_63	-0.383051437883782
group_600	-0.0289422282831209
group_56	-0.385360148194406
group_147	0.0869644112980107
group_36	-0.512402439223775
group_136	0.0817443727862458
group_219	0.59297643934186
group_262	-0.424459894231855
group_113	0.248317821298308
group_609	-0.0988894920583712
sp.Q47688.YKFC_ECOLI	0.602118821755833
group_557	-0.250483341588698
group_85	0.178041750219305
sp.A1JLA4.DNLJ_YERE8...sp.A4SYV5.DNLJ_POLAQ...sp.Q6D165.DNLJ_PECAS	-0.263896429942213
group_509	-0.368380429992774
group_535	0.011880584826352
group_207	-0.325187892745533
group_683	-0.0622818695073259
sp.P03009.TRA2_ECOLX	0.692065365868351
group_101	-0.0675203748486782
group_97	0.169176493322741
group_669	-0.0571757659425832
sp.P74007.SPOT_SYNY3	0.164268558267401
group_202	-0.331891662860694
group_510	-0.195574735709728
group_682	0.116284220797665
group_263	0.228888342614791
group_591	-0.161311318863987
group_644	0.595954913543443
group_224	-0.277973091018673
sp.P51565.TNP9_ECOLX...sp.P06695.TNP5_PSEAI	0.649648352072102
group_39	-0.265450347135779
group_249	-0.250237401213428
group_253	-0.184961215534513
sp.P0C1G2.TNR7_ECOLX	0.645052850350064
group_59	-0.044315317810719
group_71	0.0475734184621078
group_484	-0.351895220857195
group_592	0.367010371561615
group_227	-0.189606849314055
sp.P14307.YSMA_SERMA	-0.305931343671025
group_599	-0.319465933681792
group_188	-0.350438049928775
group_234	-0.158068939150323
group_92	-0.325250557070226
group_49	-0.254926440708141
